node,degree,betweenness,pagerank
NHNN,0.0037685387794796983,0.0004956859519846065,0.00023077774178376648
miền Trung,0.002188183807439825,0.0,0.000708576039894937
Vietlott,0.0029175784099197666,0.0,6.744238995081354e-05
tỉnh Ninh Bình,0.0008509603695599319,0.0,0.00036300404599150135
ESA,0.00036469730123997083,0.0,6.744238995081354e-05
Anh,0.004741064916119621,0.0,0.0016664942047132686
Vieclam24h,0.00024313153415998054,0.0,6.744238995081354e-05
Siêu Việt Group,0.00024313153415998054,0.0,9.607747862727259e-05
Vietrade,0.00024313153415998054,5.542512176899251e-08,8.058175928226578e-05
Cục Xúc tiến Thương mại,0.00036469730123997083,5.9652211055907686e-05,0.000120581570741915
Amazon Global Selling,0.00024313153415998054,8.938963638903115e-05,0.00011842928841748297
Hà Tĩnh,0.0008509603695599319,0.0,0.0003581418288471342
Trung tâm Đô thị số,0.00024313153415998054,0.0,7.804827804244052e-05
Applied Research,0.00012156576707999027,0.0,6.744238995081354e-05
Hoa Kỳ,0.003039144176999757,0.0,0.0010293652759424744
MIK Group,0.0004862630683199611,0.0,6.744238995081354e-05
Trung tâm Hội chợ Triển lãm Quốc gia,0.0009725261366399222,0.0,0.00035078737159390303
Đảng bộ,0.0004862630683199611,3.8054892502980226e-06,9.607747862727259e-05
Bộ Chính trị,0.014344760515438853,0.003961494470854025,0.0009710938563005434
tỉnh Quảng Ninh,0.0010940919037199124,0.0,0.0004752473044661049
FPT,0.009238998298079261,0.002790504935872436,0.000695845574340523
CYCU,0.00012156576707999027,0.0,7.905140699791714e-05
Chung Yuan Christian University,0.00012156576707999027,0.0,6.744238995081354e-05
New York,0.003525407245319718,0.0,0.0009514226660568434
Huawei,0.005713591052759543,0.0013641046233930393,0.0007683195401965986
Bộ Y tế,0.0020666180403598345,0.0003035703491718901,0.00038482181680926403
quận,0.00024313153415998054,0.0,0.0001551934185568935
Vietnam Brand Purpose,0.00012156576707999027,0.0,6.744238995081354e-05
Thủ,0.00012156576707999027,0.0,0.00012471256730373165
Công ty TNHH MTV Vàng bạc đá quý Sài Gòn,0.00012156576707999027,0.0,6.744238995081354e-05
ASEAN,0.00887430099683929,0.002517654363776558,0.0009979112224663465
VNISA,0.0006078288353999514,1.478003247173134e-08,0.00010765278760246977
NCA,0.001337223437879893,2.3050763721909168e-05,0.0001719427953349536
Cục Xúc tiến Thương mại Quốc tế,0.00012156576707999027,0.0,6.744238995081354e-05
Đại sứ quán Vương Quốc Thái Lan,0.00012156576707999027,0.0,0.00012471256730373165
DITP,0.00012156576707999027,0.0,6.744238995081354e-05
VASTI,0.00012156576707999027,0.0,6.744238995081354e-05
Alibaba,0.0023097495745198152,0.00038479822280540113,0.00025006992530931854
Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,0.00012156576707999027,0.0,6.744238995081354e-05
Ninh Thuận,0.0006078288353999514,0.0,0.0002567078308084742
Qualcomm,0.0019450522732798443,0.00021028750600274025,0.00023318525326707868
Sabeco,0.0012156576707999028,2.9848275576661442e-05,9.607747862727259e-05
Liên đoàn Thương mại và Công nghiệp Việt Nam,0.0014587892049598833,0.00027187975443834116,0.00015146930178901662
Đại học Southern Columbia,0.00012156576707999027,0.0,6.744238995081354e-05
FLC,0.0010940919037199124,2.3817586506724727e-05,0.00023162572816572653
CMC Telecom,0.005956722586919524,0.0012812786702892734,0.00045975016598118293
China Telecom,0.0004862630683199611,3.2472705027736635e-06,7.901296327541986e-05
World Bank,0.0008509603695599319,0.00019648685613454352,0.00012750799118542
Statista,0.0009725261366399222,5.691894544928114e-05,9.452816672928737e-05
Techcombank,0.0034038414782397277,0.0004981249170062061,0.00031114536789638873
MobiFone,0.0034038414782397277,0.0005781371313710516,0.0002590875948973699
MSD,0.0004862630683199611,4.4340097415194024e-08,0.00012471256730373165
Thăng Long,0.00024313153415998054,0.0,0.00010017379491493313
APT Satellite,0.00012156576707999027,0.0,6.744238995081354e-05
FTI,0.00024313153415998054,0.0,0.00015334765598019073
Công ty TNHH MTV Viễn thông Quốc tế FPT,0.00024313153415998054,0.0,6.744238995081354e-05
Hồng Kông,0.0009725261366399222,0.0,0.00040769279978043673
Kuaishou,0.00012156576707999027,0.0,6.744238995081354e-05
EU,0.00437636761487965,0.0009237234102977183,0.00035437520970081534
SACE,0.00024313153415998054,0.0,6.744238995081354e-05
GELEX,0.0010940919037199124,0.0004002209269827898,0.00026297304148586385
HSBC,0.0004862630683199611,5.173011365105969e-08,0.00015334765598019073
DYECHEM,0.00012156576707999027,0.0,6.744238995081354e-05
OPEC+,0.0008509603695599319,0.0,6.744238995081354e-05
Iran,0.002674446875759786,0.0,0.001054113794119388
